sit	octal	total	clade	geography
1917	577777777760770	2	T1	ITA(2)
334	577777777760771	39	T1	BEL(2) ESP(2) FIN(2) FXX(2) GBR(2) GEO(3) GLP(1) GNB(3) GUF(3) HTI(1) IND(1) ITA(5) JPN(1) MTQ(1) NLD(1) SEN(1) SWE(1) USA (5) VNM(2)
1096	577777777763771	2	MANU2	IND(2)
1662	600000000060731	2	T2	BRA(2)
1212	600000000060751	2	T1	MEX(2)
1084	600000000360771	4	T1	GUF(4)
544	600000000760731	2	T2	USA (2)
657	600000016177600	2	BOV	ARG(2)
658	600000017777600	41	BOV	ARG(33) BRA(4) MEX(4)
1741	600000077413771	2	EAI5	ITA(1) USA(1)
983	600373777777600	3	BOV	FXX(3)
1545	601775607760771	6	LAM9	BEL(5) BRA(1)
1607	601777606060771	3	LAM11_ZWE	USA(2) ZWE(1)
659	602733777777600	6	BOVIS1	BDI(6)
984	602753377777600	2	BOVIS1	FXX(2)
660	602773607777600	4	BOVIS1	BDI(4)
661	602773777777600	8	BOVIS1	DEU(1) NLD(4) UGA(3)
1606	603777740000771	2	CAS	AUS(1) USA(1)
952	603777740003771	4	CAS	BGD(1) SWE(1) USA (2)
985	606773677747600	3	BOVIS1	FXX(3)
986	606773777777600	3	BOVIS1	DEU(1) FXX(2)
1116	607777777720771	2	H3	AUT(2)
662	614073777777600	30	BOV	BEL(9) FXX(21)
1442	614077777777600	6	BOV	BEL(6)
987	614173777777600	2	BOV	FXX(2)
1673	614373777777600	8	BOV	MDG(7) NLD(1)
988	616601777777600	2	BOV	FXX(2)
989	616733777777600	6	BOVIS1	? (1) FXX(2) USA(3)
990	616772777777600	21	BOVIS1	BEL(4) FXX(17)
663	616773677777600	14	BOVIS1	CAN(1) ESP(11) ITA(1) NLD(1)
991	616773737777600	30	BOVIS1	?(1) BEL(1) FXX(28)
664	616773776377600	2	BOVIS1	NLD(1) SAU(1)
992	616773777677600	2	BOVIS1	FXX(2)
993	616773777757600	3	BOVIS1	FXX(3)
994	616773777763600	2	BOVIS1	FXX(2)
995	616773777775600	4	BOVIS1	FXX(4)
1667	616773777777200	6	BOVIS1	ARG(2) BRA(3) MEX(1)
665	616773777777600	120	BOVIS1	?(5) ARG(1) BEL(20) BRA(1) DEU(3) ESP(3) FXX(71) GBR(2) ITA(7) ITAS(1) NLD(2) REU(2) ZAF(2)
416	616777677777600	7	BOV	CAN(7)
1443	616777777777600	2	BOV	BEL(2)
1102	617776777760401	2	X1	USA(2)
478	617776777760601	16	X2	GBR(1) MEX(2) NOR(1) USA(12)
